LED #,LED PWM (%),LED current (%),Duration (s)
1,100,50,0.5
2,100,50,0.5
3,100,50,0.5
4,100,50,0.5
5,100,50,0.5
6,100,50,0.5
7,100,50,0.5
8,100,50,0.5
9,100,50,0.5
10,100,50,0.5
11,100,50,0.5
12,100,50,0.5
1,0,50,1
1,100,50,0.5
2,100,50,0.5
3,100,50,0.5
4,100,50,0.5
5,100,50,0.5
6,100,50,0.5
7,100,50,0.5
8,100,50,0.5
9,100,50,0.5
10,100,50,0.5
11,100,50,0.5
12,100,50,0.5
1,0,50,1
1,100,50,0.5
2,100,50,0.5
3,100,50,0.5
4,100,50,0.5
5,100,50,0.5
6,100,50,0.5
7,100,50,0.5
8,100,50,0.5
9,100,50,0.5
10,100,50,0.5
11,100,50,0.5
12,100,50,0.5
1,0,50,1
1,100,50,0.5
2,100,50,0.5
3,100,50,0.5
4,100,50,0.5
5,100,50,0.5
6,100,50,0.5
7,100,50,0.5
8,100,50,0.5
9,100,50,0.5
10,100,50,0.5
11,100,50,0.5
12,100,50,0.5
1,0,50,1
1,100,50,0.5
2,100,50,0.5
3,100,50,0.5
4,100,50,0.5
5,100,50,0.5
6,100,50,0.5
7,100,50,0.5
8,100,50,0.5
9,100,50,0.5
10,100,50,0.5
11,100,50,0.5
12,100,50,0.5
1,0,50,1
1,100,50,0.5
2,100,50,0.5
3,100,50,0.5
4,100,50,0.5
5,100,50,0.5
6,100,50,0.5
7,100,50,0.5
8,100,50,0.5
9,100,50,0.5
10,100,50,0.5
11,100,50,0.5
12,100,50,0.5
1,0,50,1
1,100,50,0.5
2,100,50,0.5
3,100,50,0.5
4,100,50,0.5
5,100,50,0.5
6,100,50,0.5
7,100,50,0.5
8,100,50,0.5
9,100,50,0.5
10,100,50,0.5
11,100,50,0.5
12,100,50,0.5
1,0,50,1
1,100,50,0.5
2,100,50,0.5
3,100,50,0.5
4,100,50,0.5
5,100,50,0.5
6,100,50,0.5
7,100,50,0.5
8,100,50,0.5
9,100,50,0.5
10,100,50,0.5
11,100,50,0.5
12,100,50,0.5
1,0,50,1
1,100,50,0.5
2,100,50,0.5
3,100,50,0.5
4,100,50,0.5
5,100,50,0.5
6,100,50,0.5
7,100,50,0.5
8,100,50,0.5
9,100,50,0.5
10,100,50,0.5
11,100,50,0.5
12,100,50,0.5
1,0,50,1
1,100,50,0.5
2,100,50,0.5
3,100,50,0.5
4,100,50,0.5
5,100,50,0.5
6,100,50,0.5
7,100,50,0.5
8,100,50,0.5
9,100,50,0.5
10,100,50,0.5
11,100,50,0.5
12,100,50,0.5
1,0,50,1
1,100,50,0.5
2,100,50,0.5
3,100,50,0.5
4,100,50,0.5
5,100,50,0.5
6,100,50,0.5
7,100,50,0.5
8,100,50,0.5
9,100,50,0.5
10,100,50,0.5
11,100,50,0.5
12,100,50,0.5
1,0,50,1
1,100,50,0.5
2,100,50,0.5
3,100,50,0.5
4,100,50,0.5
5,100,50,0.5
6,100,50,0.5
7,100,50,0.5
8,100,50,0.5
9,100,50,0.5
10,100,50,0.5
11,100,50,0.5
12,100,50,0.5
1,0,50,1
1,100,50,0.5
2,100,50,0.5
3,100,50,0.5
4,100,50,0.5
5,100,50,0.5
6,100,50,0.5
7,100,50,0.5
8,100,50,0.5
9,100,50,0.5
10,100,50,0.5
11,100,50,0.5
12,100,50,0.5
1,0,50,1
1,100,50,0.5
2,100,50,0.5
3,100,50,0.5
4,100,50,0.5
5,100,50,0.5
6,100,50,0.5
7,100,50,0.5
8,100,50,0.5
9,100,50,0.5
10,100,50,0.5
11,100,50,0.5
